time,x,y,theta
1889.854,-2.5157653738006047e-13,7.37188088351104e-14,-5.254000128296354e-07
1889.858,1.992952069818088e-06,-2.6306572364909186e-07,-0.000199901840991501
1889.864,-2.5202062658991053e-13,7.216449660063518e-14,-5.254075676752734e-07
1889.869,-2.5202062658991053e-13,7.216449660063518e-14,-5.254113455421816e-07
1889.873,-2.5202062658991053e-13,7.194245199571014e-14,-5.254151229650006e-07
1889.878,-2.5202062658991053e-13,7.194245199571014e-14,-5.254189008319088e-07
1889.882,1.996594928055373e-06,-2.4932521136555863e-07,-0.00019997349214850857
1889.887,1.996618909316794e-06,-2.4892330241499394e-07,-0.0001999745558847188
1889.89,-2.5202062658991053e-13,7.194245199571014e-14,-5.254302339885442e-07
1889.896,-2.5224267119483557e-13,7.172040739078511e-14,-5.254340118554524e-07
1889.902,-2.5224267119483557e-13,7.172040739078511e-14,-5.254377897223605e-07
1889.905,1.9966881783517465e-06,-2.4771761153452587e-07,-0.00019997774651736577
1889.909,-2.5224267119483557e-13,7.172040739078511e-14,-5.254453454561769e-07
1889.914,-2.5224267119483557e-13,7.172040739078511e-14,-5.254491228789959e-07
1889.917,0.00011779383180021696,-1.3873761952609698e-05,-0.011769933814049782
1889.919,-2.5290880500961066e-13,6.861178292183467e-14,-5.254566786128123e-07
1889.923,1.9939549604774953e-06,-2.2270020494374876e-07,-0.0002000239363999512
1889.929,1.9937935522573724e-06,-2.222775001836652e-07,-0.0002000241541160186
1889.932,-2.531308496145357e-13,6.861178292183467e-14,-5.254680126576261e-07
1889.937,-2.531308496145357e-13,6.861178292183467e-14,-5.254717905245343e-07
1889.941,-2.531308496145357e-13,6.861178292183467e-14,-5.254755683914425e-07
1889.945,1.9933238533109687e-06,-2.210118128509464e-07,-0.00020002491193116256
1889.95,1.993171240277647e-06,-2.2059073567781695e-07,-0.00020002518113049206
1889.954,-2.531308496145357e-13,6.838973831690964e-14,-5.254869028803455e-07
1889.957,-2.531308496145357e-13,6.838973831690964e-14,-5.254906807472537e-07
1889.963,-2.531308496145357e-13,6.838973831690964e-14,-5.254944590582511e-07
