time,x,y,theta
167.212,-1.2076371014302367e-09,9.290885838453278e-10,1.4728189334789477e-08
167.216,0.0,2.220446049250313e-16,7.991590500466828e-09
167.22,0.0,2.220446049250313e-16,7.991592276823667e-09
167.223,-9.57947721147434e-10,8.854288413573386e-10,1.435412944061909e-08
167.226,0.0,2.220446049250313e-16,7.991595829537346e-09
167.23,0.0,2.220446049250313e-16,7.991598049983395e-09
167.235,-9.718919002921211e-10,9.331153627556432e-10,1.462839449573039e-08
167.239,0.0,2.220446049250313e-16,7.991601602697074e-09
167.242,0.0,2.220446049250313e-16,7.991603823143123e-09
167.246,-1.0626495239307587e-09,9.778697851459128e-10,1.5024137045571706e-08
167.248,0.0,2.220446049250313e-16,7.991607375856802e-09
167.253,0.0,2.220446049250313e-16,7.991609596302851e-09
167.256,-1.2429102191902075e-09,9.255449739953292e-10,1.4706745155024237e-08
167.263,0.0,2.220446049250313e-16,7.99161359310574e-09
167.267,0.0,2.220446049250313e-16,7.991615369462579e-09
167.272,0.0,2.220446049250313e-16,7.991617145819419e-09
167.276,0.0,2.220446049250313e-16,7.991618922176258e-09
167.281,0.0,2.220446049250313e-16,7.991620698533097e-09
167.284,-2.136377341699358e-08,5.17788811826847e-09,-1.0014355016352283e-06
167.288,0.0,2.220446049250313e-16,7.991624251246776e-09
167.293,0.0,2.220446049250313e-16,7.991626471692825e-09
167.297,0.0,2.220446049250313e-16,7.991628692138875e-09
167.301,0.0,2.220446049250313e-16,7.991630468495714e-09
167.308,0.0,4.440892098500626e-16,7.991632244852553e-09
167.313,0.0,2.220446049250313e-16,7.991634021209393e-09
167.317,-4.5132685388971083e-07,-1.4133565184870633e-07,-2.3822441086451818e-06
167.321,0.0,2.220446049250313e-16,7.991638018012281e-09
167.326,2.338226732234716e-07,3.1600358485484037e-07,-5.124283309676514e-06
167.331,0.0,2.220446049250313e-16,7.99164201481517e-09
167.336,0.0,2.220446049250313e-16,7.99164379117201e-09
167.339,-1.1406293687343805e-08,-1.6012409176369147e-08,-9.204390494232939e-08
167.343,0.0,2.220446049250313e-16,7.991647343885688e-09
167.348,0.0,2.220446049250313e-16,7.991649120242528e-09
167.352,1.2142049365948537e-08,-1.5830527999582955e-09,-3.512823809614929e-09
167.356,0.0,2.220446049250313e-16,7.991653117045416e-09
167.361,0.0,4.440892098500626e-16,7.991655337491466e-09
167.366,0.0,2.220446049250313e-16,7.991657113848305e-09
167.369,-1.9160033559728618e-09,1.70373404273505e-09,2.0315887638844288e-08
167.375,-2.668390841620294e-09,2.281842270690504e-09,2.4683466826047606e-08
167.38,0.0,2.220446049250313e-16,7.991662887008033e-09
167.386,0.0,2.220446049250313e-16,7.991664663364872e-09
167.389,-1.4457475054907576e-06,-5.513671840207124e-06,6.160669704691202e-05
167.394,0.0,2.220446049250313e-16,7.991668216078551e-09
167.4,0.0,2.220446049250313e-16,7.9916704365246e-09
167.404,-3.332166054192953e-08,-1.9767279124671688e-07,2.2533490597886896e-06
167.407,0.0,2.220446049250313e-16,7.99167398923828e-09
167.413,0.0,2.220446049250313e-16,7.991676209684329e-09
167.417,-6.004185382213478e-07,-2.9959255387623784e-07,1.6091111283422777e-06
167.421,3.190430810651179e-07,-8.036180876302979e-08,3.6013222106667797e-06
167.425,0.0,2.220446049250313e-16,7.991681538754847e-09
167.432,0.0,2.220446049250313e-16,7.991683759200896e-09
167.435,0.0,2.220446049250313e-16,7.991685535557735e-09
167.44,0.0,2.220446049250313e-16,7.991687311914575e-09
167.444,-2.7363152410586622e-08,-1.8660386080782132e-07,2.2479270418429564e-06
167.449,-5.89636101278046e-07,-3.0224265934464256e-07,1.989160840931703e-06
167.452,0.0,2.220446049250313e-16,7.991693085074303e-09
167.456,0.0,2.220446049250313e-16,7.991694861431142e-09
167.461,1.0022063334780285e-07,-5.276348917782059e-07,9.556771358276706e-06
167.467,-4.5253497704678125e-07,-4.054314841628326e-07,1.0351553922038903e-05
167.471,0.0,2.220446049250313e-16,7.99170063459087e-09
167.476,0.0,2.220446049250313e-16,7.99170285503692e-09
167.48,0.0,2.220446049250313e-16,7.991704631393759e-09
167.485,2.5556520233394053e-08,-6.693928846779329e-07,1.1104352421575925e-05
167.489,-6.723998655644436e-07,-5.457129850228171e-07,1.2172840766488946e-05
167.493,0.0,2.220446049250313e-16,7.991710404553487e-09
167.498,0.0,2.220446049250313e-16,7.991712180910326e-09
167.502,-6.290391296737141e-07,-5.372633811173699e-07,1.2597199412489601e-05
167.507,-6.890943407000805e-07,-5.324800833594878e-07,1.3043146361635394e-05
167.511,-1.0398819082491073e-05,-5.85837069122519e-06,0.00020441747427923929
167.515,0.0,2.220446049250313e-16,7.991719730426894e-09
167.519,0.0,2.220446049250313e-16,7.991721506783733e-09
167.524,4.758429206219716e-10,-9.866556460735865e-10,1.2666117044091152e-09
167.533,0.0,2.220446049250313e-16,7.991725503586622e-09
167.537,0.0,2.220446049250313e-16,7.991727279943461e-09
167.541,-4.862514835224374e-10,1.8417636304945972e-09,2.135237808786883e-08
167.544,0.0,2.220446049250313e-16,7.99173127674635e-09
167.548,-3.537909964990149e-10,1.333324561869631e-09,1.766495083543873e-08
167.553,-2.3542456872860384e-10,-3.785751490070766e-09,1.4972817208303013e-08
167.556,0.0,2.220446049250313e-16,7.991737049906078e-09
167.561,0.0,2.220446049250313e-16,7.991738826262917e-09
167.566,5.138334868703964e-09,-5.930667512643595e-09,4.614890425358453e-08
167.57,0.0,2.220446049250313e-16,7.991742823065806e-09
167.575,0.0,2.220446049250313e-16,7.991744599422645e-09
167.579,0.0,2.220446049250313e-16,7.991746375779485e-09
167.585,0.0,2.220446049250313e-16,7.991748596225534e-09
167.588,1.1619534445728164e-08,-2.218137917786578e-08,5.523660639106254e-06
167.592,0.0,2.220446049250313e-16,7.991752148939213e-09
167.597,0.0,4.440892098500626e-16,7.991753925296052e-09
167.602,0.0,2.220446049250313e-16,7.991756145742102e-09
167.607,4.5574272289350404e-07,2.0438956416235499e-07,1.986919051510938e-06
167.611,0.0,2.220446049250313e-16,7.99176014254499e-09
167.616,0.0,2.220446049250313e-16,7.99176191890183e-09
167.62,0.0,2.220446049250313e-16,7.991763695258669e-09
167.624,1.779336256113595e-08,-7.976311389157331e-09,5.739717256147969e-06
167.629,0.0,2.220446049250313e-16,7.991767692061558e-09
167.635,0.0,2.220446049250313e-16,7.991769468418397e-09
167.639,0.0,2.220446049250313e-16,7.991771688864446e-09
167.644,0.0,2.220446049250313e-16,7.991773465221286e-09
167.649,0.0,2.220446049250313e-16,7.991775241578125e-09
167.652,0.0,2.220446049250313e-16,7.991777017934965e-09
167.656,0.0,2.220446049250313e-16,7.991778794291804e-09
167.66,4.731617730957538e-07,2.155179914531402e-07,2.2218594870615505e-06
167.664,0.0,2.220446049250313e-16,7.991782791094693e-09
167.668,0.0,2.220446049250313e-16,7.991784567451532e-09
167.673,0.0,2.220446049250313e-16,7.991786343808371e-09
167.677,-6.177925948591678e-09,8.410606100461848e-08,6.185139216352553e-06
167.68,0.0,2.220446049250313e-16,7.99179034061126e-09
167.686,0.0,2.220446049250313e-16,7.99179256105731e-09
167.69,0.0,2.220446049250313e-16,7.991793893324939e-09
167.693,3.696201462677351e-07,1.8979234939209277e-07,1.5263092434381065e-06
167.698,0.0,2.220446049250313e-16,7.991798334217037e-09
167.703,0.0,2.220446049250313e-16,7.991800110573877e-09
167.708,0.0,2.220446049250313e-16,7.991801886930716e-09
167.712,2.2315869063760374e-07,9.50964196277937e-09,1.6905088822127823e-06
167.716,0.0,2.220446049250313e-16,7.991805439644395e-09
167.72,0.0,2.220446049250313e-16,7.991807216001234e-09
167.723,5.456206697562749e-07,2.9434262849292736e-07,1.2539270737299546e-06
167.727,0.0,2.220446049250313e-16,7.991811212804123e-09
167.733,0.0,2.220446049250313e-16,7.991812989160962e-09
167.738,0.0,2.220446049250313e-16,7.991815209607012e-09
167.743,0.0,2.220446049250313e-16,7.991816985963851e-09
167.747,6.866316118125937e-06,4.436375650618274e-06,0.00011665250577763686
167.751,0.0,2.220446049250313e-16,7.99182098276674e-09
167.756,0.0,2.220446049250313e-16,7.991822759123579e-09
167.759,3.3661273679541637e-07,2.0121710742060372e-07,6.865472403916328e-07
167.764,0.0,2.220446049250313e-16,7.991826311837258e-09
167.768,0.0,2.220446049250313e-16,7.991828532283307e-09
167.772,3.313737264587502e-07,2.000973275961826e-07,6.566333490276577e-07
167.776,0.0,2.220446049250313e-16,7.991832084996986e-09
167.781,0.0,2.220446049250313e-16,7.991833861353825e-09
167.786,0.0,2.220446049250313e-16,7.991836081799875e-09
167.79,-1.2102528157420522e-07,-5.3874393834973944e-08,3.1564968470121357e-06
167.793,0.0,2.220446049250313e-16,7.991840078602763e-09
167.798,0.0,2.220446049250313e-16,7.991841854959603e-09
167.801,-1.2979681862645975e-07,-5.417403037277779e-08,3.006072261335646e-06
167.805,0.0,2.220446049250313e-16,7.991845407673281e-09
167.811,0.0,2.220446049250313e-16,7.99184762811933e-09
167.815,0.0,2.220446049250313e-16,7.99184940447617e-09
167.819,0.0,2.220446049250313e-16,7.99185118083301e-09
167.823,0.0,2.220446049250313e-16,7.991852957189849e-09
167.827,0.0,2.220446049250313e-16,7.991855177635898e-09
167.832,0.0,2.220446049250313e-16,7.991856953992738e-09
167.836,0.0,2.220446049250313e-16,7.991858730349577e-09
167.84,1.1870873173336349e-07,1.7714602185137096e-07,-1.3506782821082197e-06
167.845,-3.362323979239079e-07,-2.350455958755049e-07,6.528190565902037e-08
167.848,0.0,2.220446049250313e-16,7.991864503509305e-09
167.853,0.0,2.220446049250313e-16,7.991866723955354e-09
167.858,0.0,2.220446049250313e-16,7.991868500312194e-09
167.863,0.0,2.220446049250313e-16,7.991870276669033e-09
167.867,-5.133500102783017e-07,-3.5589425984028367e-07,-1.0928214457806007e-06
167.87,0.0,2.220446049250313e-16,7.991873829382712e-09
167.875,0.0,2.220446049250313e-16,7.991876049828761e-09
167.879,-1.6411940917393508e-08,6.753148418248145e-08,-1.572425706086733e-06
167.882,0.0,2.220446049250313e-16,7.99188004663165e-09
167.885,0.0,2.220446049250313e-16,7.991881822988489e-09
167.889,1.0898291669114712e-07,2.7744425334930156e-07,-3.237631691188625e-06
167.894,0.0,2.220446049250313e-16,7.991885375702168e-09
167.901,0.0,2.220446049250313e-16,7.991887596148217e-09
167.904,0.0,2.220446049250313e-16,7.991889372505057e-09
167.908,1.0872818378970805e-07,2.757672226127994e-07,-3.2298523859886075e-06
167.911,0.0,2.220446049250313e-16,7.991892925218735e-09
167.915,0.0,4.440892098500626e-16,7.991895145664785e-09
167.918,-5.817004971486739e-06,-8.409136498244152e-08,-7.847008724048976e-05
167.922,0.0,2.220446049250313e-16,7.991898698378463e-09
167.926,0.0,2.220446049250313e-16,7.991900918824513e-09
167.93,8.250977123758219e-08,2.4330806636108093e-07,-3.393958952546683e-06
167.934,-4.3904083257828574e-08,7.247061617476902e-08,-2.1613303760048552e-06
167.938,0.0,2.220446049250313e-16,7.99190669198424e-09
167.942,0.0,2.220446049250313e-16,7.99190846834108e-09
167.949,0.0,2.220446049250313e-16,7.99191024469792e-09
167.954,0.0,2.220446049250313e-16,7.991912021054759e-09
167.958,-1.0718047094293581e-07,3.074155907611953e-08,-9.510772960297231e-07
167.961,0.0,2.220446049250313e-16,7.991916017857648e-09
167.966,0.0,2.220446049250313e-16,7.991917794214487e-09
167.97,0.0,2.220446049250313e-16,7.991920014660536e-09
167.974,0.0,2.220446049250313e-16,7.991921791017376e-09
167.979,0.0,2.220446049250313e-16,7.991923567374215e-09
167.983,0.0,2.220446049250313e-16,7.991925343731054e-09
167.987,-6.88275683558004e-07,3.509662465095431e-07,-1.2087022755125076e-05
167.99,0.0,2.220446049250313e-16,7.991929784623153e-09
167.994,0.0,2.220446049250313e-16,7.991931560979992e-09
167.998,-7.640784938089951e-07,-2.747878473652321e-07,-1.2884983419336749e-05
168.002,0.0,2.220446049250313e-16,7.991935113693671e-09
168.006,0.0,2.220446049250313e-16,7.99193689005051e-09
168.01,-8.236173929532242e-07,-3.6006369841246055e-07,-1.3337573561589267e-05
168.013,0.0,2.220446049250313e-16,7.9919408868534e-09
168.017,0.0,2.220446049250313e-16,7.991942663210239e-09
168.02,-8.321308959668983e-07,-3.6980392859042865e-07,-1.3743477580874242e-05
168.024,0.0,2.220446049250313e-16,7.991946660013127e-09
168.029,0.0,2.220446049250313e-16,7.991948436369967e-09
168.034,-1.4268777999815185e-05,-4.883574308722771e-06,-0.0002560761462273575
168.038,0.0,2.220446049250313e-16,7.991952433172855e-09
168.043,0.0,2.220446049250313e-16,7.991954209529695e-09
